Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
One Flew Over the Cuckoo's Nest (1975),8.7,Won 5 Oscars,38 wins & 16 nominations total,Milos Forman,"$109,114,817",R,1K,186,962K
Das Leben der Anderen (2006),8.4,Won 1 Oscar,80 wins & 38 nominations total,Florian Henckel von Donnersmarck,"$77,356,942",R,541,228,376K
The Godfather (1972),9.2,Won 3 Oscars,31 wins & 30 nominations total,Francis Ford Coppola,"$246,120,986",R,4.7K,269,1.7M
Fargo (1996),8.1,Won 2 Oscars,83 wins & 58 nominations total,Joel Coen,"$60,611,975",R,1K,243,649K
The Kid (1921),8.3,Awards,2 wins,Charles Chaplin,"$39,860",Passed,222,117,121K
RoboCop (1987),7.6,Won 1 Oscar,11 wins & 13 nominations total,Paul Verhoeven,"$53,425,389",R,582,294,246K
Star Wars (1977),8.6,Won 7 Oscars,63 wins & 29 nominations total,George Lucas,"May 30, 1977",PG,2K,206,1.3M
Smultronstället (1957),8.2,Nominated for 1 Oscar,18 wins & 4 nominations total,Ingmar Bergman,"$14,524",Not Rated,211,106,103K
The Pianist (2002),8.5,Won 3 Oscars,57 wins & 74 nominations total,Roman Polanski,"$120,072,577",R,1K,136,780K
'Breaker' Morant (1980),7.9,Nominated for 1 Oscar,13 wins & 8 nominations total,Bruce Beresford,"A$800,000 (estimated)",PG,108,60,13K
Intouchables (2011),8.5,Awards,38 wins & 40 nominations total,Olivier Nakache,"$426,588,510",R,723,331,806K
Eastern Promises (2007),7.6,Nominated for 1 Oscar,28 wins & 74 nominations total,David Cronenberg,"$56,107,312",R,449,294,236K
The Miracle Worker (1962),8.1,Won 2 Oscars,11 wins & 12 nominations total,Arthur Penn,"$4,139",Approved,108,50,18K
Cat on a Hot Tin Roof (1958),8.0,Nominated for 6 Oscars,3 wins & 16 nominations total,Richard Brooks,"$3,000,000 (estimated)",Not Rated,183,88,48K
21 Grams (2003),7.6,Nominated for 2 Oscars,30 wins & 79 nominations total,Alejandro G. Iñárritu,"$60,427,839",R,592,179,232K
No Country for Old Men (2007),8.1,Won 4 Oscars,163 wins & 140 nominations total,Ethan Coen,"$171,627,166",R,2K,530,912K
Gravity (2013),7.7,Won 7 Oscars,238 wins & 187 nominations total,Alfonso Cuarón,"$723,192,705",PG-13,2.2K,789,797K
The General (1926),8.1,Awards,2 wins & 1 nomination,Clyde Bruckman,"$750,000 (estimated)",Passed,320,121,88K
